Appliance,Voltage (V),Power Consumption (W),Daily Usage (hrs),Monthly Usage (%)
Television,230,100.78,4.25,4.95
Washing Machine,230,948.34,1.76,4.88
Microwave Oven,230,925.54,0.18,2.68
Geyser,230,2070.61,1.0,9.04
Laptop/Computer,230,213.7,5.47,2.89
Iron,230,1041.2,0.19,2.25
Fan,230,76.63,7.34,17.07
Air Conditioner,230,2417.82,8.39,46.28
Refrigerator,230,189.35,24.0,8.68
LED Bulb,230,9.55,5.26,8.71
Television,230,97.72,4.26,4.85
Washing Machine,230,518.07,1.6,4.39
Microwave Oven,230,1128.16,0.2,2.4
Geyser,230,2975.17,0.98,8.87
Laptop/Computer,230,245.82,5.19,2.55
Iron,230,1276.87,0.19,2.22
Fan,230,83.7,6.01,19.33
Air Conditioner,230,1774.41,5.4,46.95
Refrigerator,230,457.79,24.0,8.36
LED Bulb,230,8.07,4.22,8.59
Television,230,119.98,4.05,4.48
Washing Machine,230,653.58,1.99,3.06
Microwave Oven,230,1456.67,0.35,2.66
Geyser,230,2981.38,0.72,8.13
Laptop/Computer,230,360.04,5.76,2.33
Iron,230,1179.95,0.23,2.43
Fan,230,81.57,6.33,23.61
Air Conditioner,230,1503.38,4.53,40.03
Refrigerator,230,776.67,24.0,9.02
LED Bulb,230,10.61,4.49,9.52
Television,230,99.91,3.3,3.81
Washing Machine,230,610.33,1.49,4.82
Microwave Oven,230,838.19,0.19,2.5
Geyser,230,2743.22,0.74,9.6
Laptop/Computer,230,118.83,5.23,2.7
Iron,230,2241.56,0.32,2.53
Fan,230,115.73,10.91,16.57
Air Conditioner,230,1659.58,4.67,49.39
Refrigerator,230,754.62,24.0,9.57
LED Bulb,230,9.52,5.41,6.61
Television,230,75.71,4.92,4.92
Washing Machine,230,655.73,1.05,3.33
Microwave Oven,230,1589.85,0.33,2.93
Geyser,230,2665.7,0.8,9.49
Laptop/Computer,230,185.94,5.47,2.34
Iron,230,1310.15,0.25,2.69
Fan,230,73.22,7.46,21.32
Air Conditioner,230,1819.22,4.64,42.73
Refrigerator,230,502.75,24.0,8.67
LED Bulb,230,15.9,7.7,9.3
Television,230,78.39,4.48,3.79
Washing Machine,230,964.39,1.23,4.6
Microwave Oven,230,839.55,0.23,2.24
Geyser,230,4158.33,1.25,8.24
Laptop/Computer,230,68.5,4.08,2.28
Iron,230,1214.72,0.24,2.76
Fan,230,128.7,10.01,22.19
Air Conditioner,230,1541.71,4.43,48.75
Refrigerator,230,397.14,24.0,8.97
LED Bulb,230,7.74,4.49,6.49
Television,230,50.86,4.99,3.12
Washing Machine,230,761.32,1.81,3.58
Microwave Oven,230,1155.92,0.17,2.71
Geyser,230,2082.14,0.95,9.28
Laptop/Computer,230,318.43,5.27,2.83
Iron,230,1186.61,0.19,2.0
Fan,230,71.15,6.78,21.05
Air Conditioner,230,1504.19,5.92,48.95
Refrigerator,230,669.47,24.0,9.86
LED Bulb,230,11.8,5.75,8.8
Television,230,91.15,3.67,4.36
Washing Machine,230,959.5,1.6,3.37
Microwave Oven,230,890.94,0.22,2.09
Geyser,230,2640.49,0.62,9.36
Laptop/Computer,230,384.32,5.87,2.12
Iron,230,1372.49,0.18,2.23
Fan,230,79.67,7.27,23.16
Air Conditioner,230,2884.21,7.92,46.45
Refrigerator,230,342.59,24.0,8.27
LED Bulb,230,9.13,5.51,6.21
Television,230,126.13,4.94,4.21
Washing Machine,230,960.93,1.84,3.68
Microwave Oven,230,1049.1,0.22,2.88
Geyser,230,2179.51,0.65,9.12
Laptop/Computer,230,152.6,4.69,2.27
Iron,230,1077.14,0.23,2.27
Fan,230,87.75,7.58,19.96
Air Conditioner,230,1522.99,5.97,41.77
Refrigerator,230,565.28,24.0,8.02
LED Bulb,230,10.15,4.53,6.87
Television,230,113.74,4.02,3.96
Washing Machine,230,998.06,1.98,3.04
Microwave Oven,230,1007.16,0.2,2.66
Geyser,230,2007.57,0.93,9.0
Laptop/Computer,230,336.99,5.66,2.11
Iron,230,2147.2,0.32,2.37
Fan,230,88.88,6.43,16.17
Air Conditioner,230,2465.53,7.43,43.38
Refrigerator,230,599.44,24.0,8.56
LED Bulb,230,11.73,5.37,9.98
Television,230,103.72,4.25,3.1
Washing Machine,230,874.56,1.87,4.67
Microwave Oven,230,994.45,0.19,2.42
Geyser,230,2162.64,0.83,9.36
Laptop/Computer,230,138.78,4.55,2.16
Iron,230,1446.96,0.19,2.59
Fan,230,89.25,6.97,16.96
Air Conditioner,230,1989.09,5.13,45.81
Refrigerator,230,612.77,24.0,8.75
LED Bulb,230,9.86,4.07,7.42
Television,230,114.09,3.53,4.1
Washing Machine,230,973.89,1.71,3.14
Microwave Oven,230,1530.05,0.31,2.22
Geyser,230,2380.78,0.77,8.31
Laptop/Computer,230,80.66,4.51,2.8
Iron,230,1062.15,0.17,2.93
Fan,230,87.87,7.43,17.6
Air Conditioner,230,1510.54,5.12,49.34
Refrigerator,230,735.86,24.0,9.43
LED Bulb,230,8.7,5.09,7.67
Television,230,54.96,4.79,3.62
Washing Machine,230,1282.62,2.56,4.16
Microwave Oven,230,885.12,0.2,2.54
Geyser,230,2902.98,0.91,9.58
Laptop/Computer,230,120.7,5.98,2.74
Iron,230,1023.74,0.21,2.0
Fan,230,81.86,6.9,22.2
Air Conditioner,230,2434.75,8.49,40.1
Refrigerator,230,661.57,24.0,9.65
LED Bulb,230,11.69,5.96,6.57
Television,230,73.55,4.61,3.05
Washing Machine,230,865.03,1.99,3.06
Microwave Oven,230,1105.81,0.23,2.48
Geyser,230,2000.09,0.9,8.79
Laptop/Computer,230,374.34,4.68,2.97
Iron,230,1257.93,0.19,2.95
Fan,230,110.98,9.71,20.0
Air Conditioner,230,1813.38,5.14,44.31
Refrigerator,230,466.42,24.0,9.33
LED Bulb,230,9.74,4.61,5.01
Television,230,123.18,4.25,3.97
Washing Machine,230,672.75,1.35,4.54
Microwave Oven,230,1486.62,0.31,2.22
Geyser,230,2407.4,0.58,9.8
Laptop/Computer,230,182.3,4.41,2.1
Iron,230,1285.35,0.18,2.82
Fan,230,87.08,7.2,15.7
Air Conditioner,230,1630.14,4.25,42.49
Refrigerator,230,428.66,24.0,9.75
LED Bulb,230,9.42,4.8,7.29
Television,230,51.41,3.84,3.61
Washing Machine,230,1434.66,2.88,3.78
Microwave Oven,230,1043.93,0.22,2.44
Geyser,230,2761.28,0.76,8.77
Laptop/Computer,230,332.19,5.27,2.63
Iron,230,2115.32,0.37,2.92
Fan,230,88.54,6.65,22.78
Air Conditioner,230,1916.57,4.2,43.94
Refrigerator,230,1081.73,32.75,8.74
LED Bulb,230,8.37,5.68,7.37
Television,230,146.33,3.94,4.58
Washing Machine,230,784.34,1.72,4.4
Microwave Oven,230,1002.83,0.17,2.64
Geyser,230,2997.85,0.54,8.91
Laptop/Computer,230,364.12,5.99,2.05
Iron,230,1105.61,0.18,2.37
Fan,230,75.77,6.25,23.71
Air Conditioner,230,1913.55,5.44,49.47
Refrigerator,230,202.45,24.0,9.51
LED Bulb,230,11.52,4.28,5.96
Television,230,143.83,4.99,4.89
Washing Machine,230,829.77,1.96,4.85
Microwave Oven,230,815.39,0.17,2.2
Geyser,230,2306.0,0.85,9.4
Laptop/Computer,230,331.91,5.64,2.96
Iron,230,1359.25,0.21,2.45
Fan,230,71.71,7.9,24.35
Air Conditioner,230,2827.35,8.48,41.3
Refrigerator,230,583.93,24.0,8.17
LED Bulb,230,8.24,4.89,6.17
Television,230,58.83,3.92,4.15
Washing Machine,230,816.29,1.57,4.26
Microwave Oven,230,987.21,0.24,2.02
Geyser,230,2369.09,0.76,9.01
Laptop/Computer,230,160.31,5.29,2.4
Iron,230,1000.21,0.18,2.83
Fan,230,121.84,11.54,15.15
Air Conditioner,230,1785.59,5.25,47.27
Refrigerator,230,125.79,24.0,9.53
LED Bulb,230,10.75,5.56,9.79
Television,230,82.13,4.35,4.77
Washing Machine,230,736.64,1.89,3.5
Microwave Oven,230,962.66,0.22,2.6
Geyser,230,2384.0,0.9,9.49
Laptop/Computer,230,384.61,4.17,2.44
Iron,230,1218.51,0.24,2.82
Fan,230,83.27,7.59,19.24
Air Conditioner,230,2789.27,8.73,43.72
Refrigerator,230,799.69,24.0,9.94
LED Bulb,230,8.57,4.76,8.25
Television,230,135.61,4.77,4.18
Washing Machine,230,567.51,1.65,3.94
Microwave Oven,230,1136.92,0.23,2.42
Geyser,230,2148.94,0.73,9.6
Laptop/Computer,230,216.65,5.89,2.03
Iron,230,1316.29,0.16,2.61
Fan,230,70.87,7.88,18.12
Air Conditioner,230,1821.58,4.56,48.03
Refrigerator,230,521.48,24.0,8.48
LED Bulb,230,10.71,5.15,5.94
Television,230,79.51,3.31,3.29
Washing Machine,230,715.93,1.45,4.72
Microwave Oven,230,1070.44,0.25,2.83
Geyser,230,2558.47,0.67,8.29
Laptop/Computer,230,390.49,4.2,2.29
Iron,230,1351.99,0.2,2.41
Fan,230,85.46,6.89,21.15
Air Conditioner,230,1554.17,4.86,41.74
Refrigerator,230,998.61,34.88,8.33
LED Bulb,230,9.39,4.56,9.11
Television,230,68.1,4.73,4.01
Washing Machine,230,601.28,1.59,3.48
Microwave Oven,230,860.41,0.22,2.62
Geyser,230,2096.35,0.63,8.8
Laptop/Computer,230,97.84,5.13,2.38
Iron,230,1364.19,0.18,2.34
Fan,230,86.17,6.85,17.72
Air Conditioner,230,1826.85,4.97,42.86
Refrigerator,230,767.28,24.0,8.17
LED Bulb,230,9.79,4.59,5.78
Television,230,53.53,3.12,4.66
Washing Machine,230,871.43,1.57,3.46
Microwave Oven,230,809.76,0.24,2.26
Geyser,230,2145.44,0.58,9.39
Laptop/Computer,230,125.0,4.56,2.84
Iron,230,1450.39,0.21,2.12
Fan,230,114.83,11.33,15.86
Air Conditioner,230,1627.41,4.0,41.47
Refrigerator,230,1103.14,35.36,9.51
LED Bulb,230,10.45,5.65,9.46
Television,230,134.99,3.73,4.36
Washing Machine,230,1376.66,2.61,4.84
Microwave Oven,230,1449.83,0.37,2.92
Geyser,230,2813.26,0.88,8.39
Laptop/Computer,230,196.15,5.97,2.3
Iron,230,1349.64,0.24,2.14
Fan,230,73.54,6.01,24.08
Air Conditioner,230,1741.42,4.9,42.08
Refrigerator,230,651.6,24.0,9.21
LED Bulb,230,8.32,4.74,6.95
Television,230,139.95,3.83,4.04
Washing Machine,230,762.72,1.94,3.49
Microwave Oven,230,1597.69,0.33,2.67
Geyser,230,2145.03,0.71,8.02
Laptop/Computer,230,396.89,4.99,2.17
Iron,230,1370.22,0.18,2.97
Fan,230,82.13,6.61,19.4
Air Conditioner,230,1693.36,4.23,46.11
Refrigerator,230,269.07,24.0,8.65
LED Bulb,230,7.16,5.95,9.0
Television,230,86.18,4.36,4.76
Washing Machine,230,761.03,1.03,4.22
Microwave Oven,230,1769.83,0.33,2.43
Geyser,230,4423.94,1.27,8.28
Laptop/Computer,230,233.33,5.27,2.91
Iron,230,2085.09,0.31,2.97
Fan,230,88.84,7.39,22.46
Air Conditioner,230,1870.4,5.09,45.29
Refrigerator,230,719.87,24.0,9.1
LED Bulb,230,7.86,5.32,6.94
Television,230,67.68,3.12,3.52
Washing Machine,230,766.0,1.42,4.74
Microwave Oven,230,929.27,0.19,2.4
Geyser,230,4404.56,1.31,8.29
Laptop/Computer,230,244.95,5.61,2.53
Iron,230,1319.96,0.2,2.91
Fan,230,82.95,7.22,19.84
Air Conditioner,230,1778.83,5.58,48.91
Refrigerator,230,754.56,24.0,9.37
LED Bulb,230,10.99,5.47,5.02
Television,230,57.21,3.52,4.4
Washing Machine,230,587.33,1.47,4.0
Microwave Oven,230,817.94,0.18,2.13
Geyser,230,2003.83,0.56,8.86
Laptop/Computer,230,374.46,5.86,2.96
Iron,230,1062.52,0.2,2.48
Fan,230,71.77,6.54,21.74
Air Conditioner,230,1905.46,4.5,46.49
Refrigerator,230,793.07,24.0,8.73
LED Bulb,230,8.13,4.47,8.55
Television,230,77.53,3.7,4.98
Washing Machine,230,572.17,1.98,4.42
Microwave Oven,230,1067.77,0.18,2.53
Geyser,230,2531.25,0.84,8.55
Laptop/Computer,230,308.41,4.68,2.14
Iron,230,1472.01,0.18,2.18
Fan,230,74.06,7.87,19.3
Air Conditioner,230,2869.41,7.22,40.07
Refrigerator,230,675.48,24.0,8.91
LED Bulb,230,16.88,8.84,7.31
Television,230,107.64,3.99,3.71
Washing Machine,230,945.91,1.55,3.68
Microwave Oven,230,801.76,0.2,2.47
Geyser,230,2839.33,0.84,8.55
Laptop/Computer,230,358.4,5.64,2.79
Iron,230,1197.02,0.18,2.94
Fan,230,83.13,6.27,17.25
Air Conditioner,230,2702.86,7.8,43.55
Refrigerator,230,607.14,24.0,8.36
LED Bulb,230,11.19,4.22,7.88
Television,230,106.85,3.33,4.12
Washing Machine,230,895.3,1.94,3.64
Microwave Oven,230,1491.06,0.32,2.52
Geyser,230,2040.57,0.74,9.95
Laptop/Computer,230,170.48,5.62,2.72
Iron,230,1107.98,0.24,2.11
Fan,230,75.44,6.56,22.68
Air Conditioner,230,2544.89,8.16,46.34
Refrigerator,230,312.28,24.0,9.96
LED Bulb,230,7.67,5.83,9.27
Television,230,74.01,3.91,4.71
Washing Machine,230,540.04,1.09,4.42
Microwave Oven,230,1125.21,0.18,2.61
Geyser,230,2837.9,0.54,8.19
Laptop/Computer,230,294.04,5.55,2.99
Iron,230,1154.61,0.17,2.39
Fan,230,77.3,6.3,19.99
Air Conditioner,230,1601.2,4.89,47.26
Refrigerator,230,309.39,24.0,9.17
LED Bulb,230,11.24,4.92,9.97
Television,230,90.64,3.81,3.46
Washing Machine,230,728.87,1.34,4.67
Microwave Oven,230,973.49,0.24,2.37
Geyser,230,2289.7,0.87,8.94
Laptop/Computer,230,84.06,4.3,2.76
Iron,230,1249.09,0.18,2.25
Fan,230,71.99,7.2,16.19
Air Conditioner,230,1869.23,4.01,43.83
Refrigerator,230,1023.31,29.38,8.52
LED Bulb,230,7.31,4.09,6.98
Television,230,215.51,7.14,3.74
Washing Machine,230,1319.09,2.66,3.55
Microwave Oven,230,1184.12,0.16,2.24
Geyser,230,4071.75,1.3,9.11
Laptop/Computer,230,356.87,4.46,2.52
Iron,230,1003.46,0.18,2.83
Fan,230,80.29,7.71,22.9
Air Conditioner,230,2886.67,7.28,47.14
Refrigerator,230,627.46,24.0,8.26
LED Bulb,230,16.87,7.56,7.0
Television,230,65.18,3.86,4.58
Washing Machine,230,949.3,1.93,5.0
Microwave Oven,230,1032.09,0.19,2.48
Geyser,230,2817.19,0.5,9.86
Laptop/Computer,230,231.73,4.08,2.96
Iron,230,1383.89,0.22,2.22
Fan,230,118.85,10.65,18.78
Air Conditioner,230,1922.22,5.54,48.7
Refrigerator,230,659.51,24.0,9.24
LED Bulb,230,7.61,5.88,6.4
Television,230,141.5,3.12,4.54
Washing Machine,230,549.16,1.2,3.04
Microwave Oven,230,1725.82,0.33,2.9
Geyser,230,2081.05,0.82,8.57
Laptop/Computer,230,211.55,5.79,2.69
Iron,230,1073.65,0.2,2.61
Fan,230,70.83,7.77,16.72
Air Conditioner,230,2589.88,7.84,49.49
Refrigerator,230,1187.37,31.12,8.47
LED Bulb,230,10.39,4.12,5.15
Television,230,69.16,3.25,4.34
Washing Machine,230,565.03,1.82,4.77
Microwave Oven,230,1111.63,0.23,2.05
Geyser,230,2351.16,0.73,9.41
Laptop/Computer,230,238.59,4.92,2.46
Iron,230,1354.31,0.17,2.02
Fan,230,75.9,7.64,21.38
Air Conditioner,230,1683.17,5.83,47.04
Refrigerator,230,272.6,24.0,8.27
LED Bulb,230,8.25,5.2,7.0
Television,230,107.24,3.31,3.51
Washing Machine,230,793.36,1.29,4.92
Microwave Oven,230,1031.59,0.19,2.97
Geyser,230,2698.57,0.67,9.07
Laptop/Computer,230,377.42,4.21,2.44
Iron,230,1384.85,0.21,2.32
Fan,230,88.81,6.26,16.28
Air Conditioner,230,1651.19,4.78,42.71
Refrigerator,230,325.43,24.0,8.73
LED Bulb,230,8.36,4.54,9.63
Television,230,93.43,3.02,3.8
Washing Machine,230,988.57,1.4,4.85
Microwave Oven,230,1013.16,0.25,2.93
Geyser,230,4109.31,1.3,9.46
Laptop/Computer,230,257.98,5.43,2.66
Iron,230,1351.35,0.18,2.35
Fan,230,76.63,7.12,22.54
Air Conditioner,230,1566.57,5.73,49.48
Refrigerator,230,429.82,24.0,10.0
LED Bulb,230,8.76,5.77,7.45
Television,230,86.81,3.63,3.19
Washing Machine,230,727.14,1.89,3.99
Microwave Oven,230,1082.6,0.17,2.71
Geyser,230,2788.94,0.75,8.51
Laptop/Computer,230,385.08,5.83,2.53
Iron,230,1487.28,0.19,2.26
Fan,230,72.05,7.17,15.34
Air Conditioner,230,1828.07,5.49,43.43
Refrigerator,230,1020.68,32.5,9.49
LED Bulb,230,7.45,4.41,7.85
Television,230,121.09,4.9,3.81
Washing Machine,230,640.5,1.53,3.02
Microwave Oven,230,928.78,0.17,2.57
Geyser,230,2533.35,0.78,8.67
Laptop/Computer,230,365.92,4.41,2.72
Iron,230,1990.69,0.32,3.0
Fan,230,73.4,7.01,17.88
Air Conditioner,230,1847.37,5.31,44.06
Refrigerator,230,795.74,24.0,8.56
LED Bulb,230,9.96,5.09,7.4
Television,230,89.14,4.79,4.98
Washing Machine,230,862.02,1.76,3.98
Microwave Oven,230,1004.74,0.17,2.89
Geyser,230,2318.12,0.55,8.81
Laptop/Computer,230,185.19,5.09,2.66
Iron,230,1140.0,0.19,2.6
Fan,230,76.61,7.11,17.95
Air Conditioner,230,2451.16,8.23,48.65
Refrigerator,230,284.02,24.0,8.45
LED Bulb,230,11.6,4.06,8.29
Television,230,131.15,3.29,4.68
Washing Machine,230,717.9,1.24,4.45
Microwave Oven,230,1618.07,0.32,2.18
Geyser,230,2993.94,0.92,8.54
Laptop/Computer,230,590.18,7.67,2.33
Iron,230,1384.6,0.19,2.5
Fan,230,89.11,6.75,17.63
Air Conditioner,230,1630.5,5.89,44.9
Refrigerator,230,640.59,24.0,8.7
LED Bulb,230,10.58,5.21,5.95
Television,230,60.63,3.65,4.74
Washing Machine,230,814.58,1.17,3.59
Microwave Oven,230,898.33,0.24,2.75
Geyser,230,2422.89,0.83,8.1
Laptop/Computer,230,266.26,5.78,2.5
Iron,230,1162.73,0.23,2.54
Fan,230,72.67,6.25,15.36
Air Conditioner,230,1542.49,5.52,45.25
Refrigerator,230,557.0,24.0,9.95
LED Bulb,230,7.82,4.11,5.35
Television,230,115.81,3.93,3.98
Washing Machine,230,501.7,1.89,3.0
Microwave Oven,230,1190.68,0.17,2.82
Geyser,230,2428.9,0.75,8.29
Laptop/Computer,230,126.72,4.54,2.82
Iron,230,1099.0,0.19,2.62
Fan,230,73.15,7.94,23.46
Air Conditioner,230,1600.3,5.39,48.02
Refrigerator,230,420.73,24.0,8.17
LED Bulb,230,7.64,5.67,8.94
Television,230,123.14,3.55,3.02
Washing Machine,230,921.0,1.33,3.54
Microwave Oven,230,1056.67,0.25,2.17
Geyser,230,4179.67,1.49,9.75
Laptop/Computer,230,296.02,4.0,2.32
Iron,230,1182.9,0.17,2.16
Fan,230,75.12,7.66,15.03
Air Conditioner,230,1931.36,4.81,42.05
Refrigerator,230,560.65,24.0,9.73
LED Bulb,230,7.97,4.58,7.88
Television,230,105.98,4.91,4.23
Washing Machine,230,947.23,1.8,3.81
Microwave Oven,230,1009.49,0.21,2.56
Geyser,230,2625.54,0.77,8.59
Laptop/Computer,230,561.08,8.11,2.16
Iron,230,1403.08,0.22,2.13
Fan,230,71.06,7.51,22.05
Air Conditioner,230,1899.17,4.74,44.4
Refrigerator,230,556.79,24.0,9.87
LED Bulb,230,11.36,5.57,8.01
Television,230,111.16,3.59,4.37
Washing Machine,230,795.42,1.49,4.04
Microwave Oven,230,985.47,0.23,2.88
Geyser,230,2413.88,0.66,8.77
Laptop/Computer,230,384.36,5.44,2.77
Iron,230,1429.64,0.17,2.83
Fan,230,83.97,6.33,19.25
Air Conditioner,230,2738.03,8.26,45.93
Refrigerator,230,591.88,24.0,8.64
LED Bulb,230,11.28,5.61,7.92
Television,230,127.49,4.0,3.54
Washing Machine,230,1273.47,2.53,3.63
Microwave Oven,230,1189.99,0.17,2.66
Geyser,230,2005.76,0.97,9.41
Laptop/Computer,230,151.71,4.92,2.78
Iron,230,1294.78,0.22,2.66
Fan,230,82.18,6.84,21.08
Air Conditioner,230,1860.69,4.93,46.47
Refrigerator,230,348.79,24.0,9.4
LED Bulb,230,10.12,4.25,5.54
Television,230,138.67,3.06,4.21
Washing Machine,230,730.84,1.52,4.34
Microwave Oven,230,1193.55,0.17,2.52
Geyser,230,2418.26,0.62,8.84
Laptop/Computer,230,52.44,4.7,2.54
Iron,230,1177.78,0.2,2.01
Fan,230,112.85,11.18,23.85
Air Conditioner,230,1644.73,4.42,49.99
Refrigerator,230,209.64,24.0,8.45
LED Bulb,230,8.0,5.77,5.48
Television,230,115.78,4.14,3.66
Washing Machine,230,749.04,1.55,4.91
Microwave Oven,230,875.16,0.16,2.41
Geyser,230,2575.07,0.81,9.15
Laptop/Computer,230,384.29,5.36,2.94
Iron,230,1413.61,0.22,2.98
Fan,230,82.55,7.65,19.7
Air Conditioner,230,1870.97,5.73,47.93
Refrigerator,230,783.16,24.0,9.04
LED Bulb,230,9.56,4.26,6.06
Television,230,81.54,4.05,4.04
Washing Machine,230,793.5,1.32,3.7
Microwave Oven,230,1129.22,0.2,2.46
Geyser,230,2675.74,0.98,9.81
Laptop/Computer,230,173.71,5.97,2.55
Iron,230,1300.77,0.22,2.15
Fan,230,78.16,7.44,17.42
Air Conditioner,230,1705.58,4.67,46.2
Refrigerator,230,111.07,24.0,8.48
LED Bulb,230,10.4,4.27,8.67
Television,230,56.78,4.31,4.37
Washing Machine,230,1307.68,2.54,4.18
Microwave Oven,230,1170.39,0.19,2.53
Geyser,230,2054.32,0.72,9.25
Laptop/Computer,230,175.84,5.69,2.39
Iron,230,1295.43,0.17,2.65
Fan,230,82.82,7.6,18.42
Air Conditioner,230,1861.35,4.2,48.87
Refrigerator,230,502.85,24.0,9.97
LED Bulb,230,16.87,7.58,7.27
Television,230,54.33,3.79,4.16
Washing Machine,230,706.95,1.11,3.65
Microwave Oven,230,1074.59,0.23,2.58
Geyser,230,2709.13,0.99,8.14
Laptop/Computer,230,260.28,4.18,2.45
Iron,230,1458.29,0.2,2.76
Fan,230,82.47,6.54,16.05
Air Conditioner,230,1517.19,5.12,45.59
Refrigerator,230,238.54,24.0,9.47
LED Bulb,230,7.38,5.26,6.97
Television,230,129.48,4.42,4.24
Washing Machine,230,618.71,1.07,3.97
Microwave Oven,230,1116.77,0.16,2.36
Geyser,230,2614.49,0.73,9.38
Laptop/Computer,230,138.59,5.44,2.7
Iron,230,1430.84,0.19,2.75
Fan,230,84.74,6.19,18.8
Air Conditioner,230,1614.17,4.04,46.85
Refrigerator,230,381.53,24.0,8.51
LED Bulb,230,9.43,5.62,8.44
Television,230,119.61,3.54,3.96
Washing Machine,230,1474.07,2.93,3.72
Microwave Oven,230,1164.71,0.18,2.4
Geyser,230,2225.66,0.58,9.19
Laptop/Computer,230,250.3,4.57,2.28
Iron,230,2196.44,0.3,2.86
Fan,230,128.97,10.61,17.12
Air Conditioner,230,1954.71,4.73,43.92
Refrigerator,230,183.25,24.0,9.71
LED Bulb,230,10.66,5.53,6.34
Television,230,124.75,4.28,4.64
Washing Machine,230,550.15,1.34,4.64
Microwave Oven,230,820.08,0.19,2.26
Geyser,230,2737.02,0.75,8.9
Laptop/Computer,230,163.19,4.71,2.17
Iron,230,1341.14,0.24,2.69
Fan,230,78.95,7.89,24.74
Air Conditioner,230,1917.5,4.47,47.45
Refrigerator,230,440.74,24.0,9.15
LED Bulb,230,10.16,4.43,8.71
Television,230,212.99,6.48,3.05
Washing Machine,230,752.45,1.23,4.68
Microwave Oven,230,841.11,0.18,2.4
Geyser,230,2250.21,0.79,8.86
Laptop/Computer,230,221.31,4.72,2.64
Iron,230,1043.71,0.18,2.19
Fan,230,81.59,7.3,17.91
Air Conditioner,230,1757.6,4.1,43.98
Refrigerator,230,249.23,24.0,9.51
LED Bulb,230,9.18,5.61,6.28
Television,230,61.15,3.28,3.96
Washing Machine,230,570.73,1.81,4.32
Microwave Oven,230,970.22,0.16,2.69
Geyser,230,2740.9,0.96,8.93
Laptop/Computer,230,219.58,4.85,2.35
Iron,230,1415.86,0.25,2.09
Fan,230,88.09,7.13,15.95
Air Conditioner,230,1799.81,4.42,46.74
Refrigerator,230,589.44,24.0,8.01
LED Bulb,230,8.92,5.69,8.49
Television,230,203.24,7.31,4.36
Washing Machine,230,871.21,1.44,4.92
Microwave Oven,230,811.0,0.25,2.13
Geyser,230,2607.37,0.94,8.89
Laptop/Computer,230,61.67,4.53,2.06
Iron,230,1323.37,0.21,2.37
Fan,230,83.32,6.22,17.01
Air Conditioner,230,1595.89,5.27,46.39
Refrigerator,230,280.74,24.0,8.61
LED Bulb,230,11.06,5.53,6.04
Television,230,124.62,3.84,3.92
Washing Machine,230,726.39,1.44,3.16
Microwave Oven,230,1195.3,0.17,2.46
Geyser,230,3729.76,1.4,8.83
Laptop/Computer,230,489.48,7.71,2.79
Iron,230,1253.02,0.19,2.65
Fan,230,75.46,6.12,15.36
Air Conditioner,230,1577.44,4.58,42.28
Refrigerator,230,165.68,24.0,9.97
LED Bulb,230,8.77,5.53,7.16
Television,230,101.4,4.15,4.59
Washing Machine,230,503.17,1.63,3.21
Microwave Oven,230,863.3,0.22,2.46
Geyser,230,2953.56,0.79,9.66
Laptop/Computer,230,216.51,4.25,2.06
Iron,230,1201.1,0.24,2.69
Fan,230,87.77,6.46,22.47
Air Conditioner,230,1937.27,4.19,48.33
Refrigerator,230,362.31,24.0,8.23
LED Bulb,230,10.06,4.46,8.32
Television,230,62.22,3.91,3.06
Washing Machine,230,996.65,1.4,3.37
Microwave Oven,230,974.32,0.17,2.83
Geyser,230,4389.24,1.3,8.3
Laptop/Computer,230,383.06,4.74,2.87
Iron,230,1401.5,0.23,2.95
Fan,230,80.56,6.32,21.45
Air Conditioner,230,1947.93,4.37,48.22
Refrigerator,230,651.89,24.0,8.0
LED Bulb,230,10.93,4.7,9.06
Television,230,112.03,4.77,4.25
Washing Machine,230,785.24,1.72,3.19
Microwave Oven,230,831.89,0.17,2.59
Geyser,230,3915.94,1.38,9.5
Laptop/Computer,230,237.49,5.65,2.69
Iron,230,1950.06,0.36,2.37
